i,j,x,y,initial,numerical,exact,error,absError
0,0,5.0000000000000003e-02,5.0000000000000003e-02,5.8778525229247314e-01,5.3066917629400001e-01,5.8778525229247347e-01,-5.7116075998473459e-02,5.7116075998473459e-02
1,0,1.4999999999999999e-01,5.0000000000000003e-02,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515375e-01,3.5854558313484619e-01,3.5854558313484619e-01
2,0,2.5000000000000000e-01,5.0000000000000003e-02,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515342e-01,6.3725501603484669e-01,6.3725501603484669e-01
3,0,3.4999999999999998e-01,5.0000000000000003e-02,5.8778525229247325e-01,1.2603399446000001e+00,5.8778525229247280e-01,6.7255469230752729e-01,6.7255469230752729e-01
4,0,4.5000000000000001e-01,5.0000000000000003e-02,1.2246467991473532e-16,4.5096133540700001e-01,-3.6739403974420594e-16,4.5096133540700040e-01,4.5096133540700040e-01
5,0,5.5000000000000004e-01,5.0000000000000003e-02,-5.8778525229247336e-01,-5.3066917629400001e-01,-5.8778525229247336e-01,5.7116075998473348e-02,5.7116075998473348e-02
6,0,6.5000000000000002e-01,5.0000000000000003e-02,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515420e-01,-3.5854558313484575e-01,3.5854558313484575e-01
7,0,7.5000000000000000e-01,5.0000000000000003e-02,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
8,0,8.4999999999999998e-01,5.0000000000000003e-02,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
9,0,9.4999999999999996e-01,5.0000000000000003e-02,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
0,1,5.0000000000000003e-02,1.4999999999999999e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515375e-01,3.5854558313484619e-01,3.5854558313484619e-01
1,1,1.4999999999999999e-01,1.4999999999999999e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515342e-01,6.3725501603484669e-01,6.3725501603484669e-01
2,1,2.5000000000000000e-01,1.4999999999999999e-01,5.8778525229247325e-01,1.2603399446000001e+00,5.8778525229247280e-01,6.7255469230752729e-01,6.7255469230752729e-01
3,1,3.4999999999999998e-01,1.4999999999999999e-01,1.2246467991473532e-16,4.5096133540700001e-01,-3.6739403974420594e-16,4.5096133540700040e-01,4.5096133540700040e-01
4,1,4.5000000000000001e-01,1.4999999999999999e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229247336e-01,5.7116075998473348e-02,5.7116075998473348e-02
5,1,5.5000000000000004e-01,1.4999999999999999e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515420e-01,-3.5854558313484575e-01,3.5854558313484575e-01
6,1,6.5000000000000002e-01,1.4999999999999999e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
7,1,7.5000000000000000e-01,1.4999999999999999e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
8,1,8.4999999999999998e-01,1.4999999999999999e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
9,1,9.4999999999999996e-01,1.4999999999999999e-01,5.8778525229247214e-01,5.3066917629400001e-01,5.8778525229247258e-01,-5.7116075998472571e-02,5.7116075998472571e-02
0,2,5.0000000000000003e-02,2.5000000000000000e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515342e-01,6.3725501603484669e-01,6.3725501603484669e-01
1,2,1.4999999999999999e-01,2.5000000000000000e-01,5.8778525229247325e-01,1.2603399446000001e+00,5.8778525229247280e-01,6.7255469230752729e-01,6.7255469230752729e-01
2,2,2.5000000000000000e-01,2.5000000000000000e-01,1.2246467991473532e-16,4.5096133540700001e-01,-3.6739403974420594e-16,4.5096133540700040e-01,4.5096133540700040e-01
3,2,3.4999999999999998e-01,2.5000000000000000e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229247336e-01,5.7116075998473348e-02,5.7116075998473348e-02
4,2,4.5000000000000001e-01,2.5000000000000000e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515364e-01,-3.5854558313484630e-01,3.5854558313484630e-01
5,2,5.5000000000000004e-01,2.5000000000000000e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
6,2,6.5000000000000002e-01,2.5000000000000000e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
7,2,7.5000000000000000e-01,2.5000000000000000e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
8,2,8.4999999999999998e-01,2.5000000000000000e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
9,2,9.4999999999999996e-01,2.5000000000000000e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515364e-01,3.5854558313484630e-01,3.5854558313484630e-01
