cell,x,y,initial,numerical,exact,error,absError
44,5.6250000000000000e-01,-4.9375000000000000e+00,1.8834845078704015e-11,6.2781302419400005e-07,6.1146707855879399e-07,1.6345945635206066e-08,1.6345945635206066e-08
45,6.8750000000000000e-01,-4.9375000000000000e+00,1.6110296728628682e-11,5.7522223220300000e-07,5.6062686583044764e-07,1.4595366372552364e-08,1.4595366372552364e-08
46,8.1250000000000000e-01,-4.9375000000000000e+00,1.3355905090559625e-11,5.1790036190599998e-07,5.0516691239836667e-07,1.2733449507633304e-08,1.2733449507633304e-08
47,9.3750000000000000e-01,-4.9375000000000000e+00,1.0731771232313296e-11,4.5820963539600000e-07,4.4735887125995763e-07,1.0850764136042372e-08,1.0850764136042372e-08
48,1.0625000000000000e+00,-4.9375000000000000e+00,8.3579118394687716e-12,3.9837518135500002e-07,3.8934748697845754e-07,9.0276943765424830e-09,9.0276943765424830e-09
49,1.1875000000000000e+00,-4.9375000000000000e+00,6.3088828463638200e-12,3.4035594523099999e-07,3.3302655368591119e-07,7.3293915450887976e-09,7.3293915450887976e-09
50,1.3125000000000000e+00,-4.9375000000000000e+00,4.6156772915931454e-12,2.8575294973100000e-07,2.7995002818924035e-07,5.8029215417596463e-09,5.8029215417596463e-09
51,1.4375000000000000e+00,-4.9375000000000000e+00,3.2730053036046060e-12,2.3575888097300001e-07,2.3128226575913078e-07,4.4766152138692289e-09,4.4766152138692289e-09
52,1.5625000000000000e+00,-4.9375000000000000e+00,2.2495014545934366e-12,1.9114781400700001e-07,1.8778647778990862e-07,3.3613362170913952e-09,3.3613362170913952e-09
53,1.6875000000000000e+00,-4.9375000000000000e+00,1.4984910212456199e-12,1.5229962921099999e-07,1.4984645200250439e-07,2.4531772084956072e-09,2.4531772084956072e-09
54,1.8125000000000000e+00,-4.9375000000000000e+00,9.6749851973266151e-13,1.1925077475099999e-07,1.1751377502089252e-07,1.7369997301074677e-09,1.7369997301074677e-09
55,1.9375000000000000e+00,-4.9375000000000000e+00,6.0544510296481152e-13,9.1761678631499995e-08,9.0571436621834380e-08,1.1902420096656158e-09,1.1902420096656158e-09
56,2.0625000000000000e+00,-4.9375000000000000e+00,3.6722101772103039e-13,6.9391214702099996e-08,6.8604704869855426e-08,7.8650983224457059e-10,7.8650983224457059e-10
57,2.1875000000000000e+00,-4.9375000000000000e+00,2.1587809965131755e-13,5.1569882557600002e-08,5.1071276098983790e-08,4.9860645861621219e-10,4.9860645861621219e-10
58,2.3125000000000000e+00,-4.9375000000000000e+00,1.2300363341687139e-13,3.7665358064699998e-08,3.7364543784265623e-08,3.0081428043437524e-10,3.0081428043437524e-10
59,2.4375000000000000e+00,-4.9375000000000000e+00,6.7929057933421200e-14,2.7036373043900002e-08,2.6865988443536627e-08,1.7038460036337486e-10,1.7038460036337486e-10
60,2.5625000000000000e+00,-4.9375000000000000e+00,3.6359804587392280e-14,1.9073107759599999e-08,1.8984804466570412e-08,8.8303293029586805e-11,8.8303293029586805e-11
61,2.6875000000000000e+00,-4.9375000000000000e+00,1.8863218124450049e-14,1.3224150571200000e-08,1.3184680150651383e-08,3.9470420548616249e-11,3.9470420548616249e-11
62,2.8125000000000000e+00,-4.9375000000000000e+00,9.4850217351272718e-15,9.0114408801300004e-09,8.9989789103006187e-09,1.2461969829381657e-11,1.2461969829381657e-11
63,2.9375000000000000e+00,-4.9375000000000000e+00,4.6226304054837065e-15,6.0354256262599999e-09,6.0363864372561968e-09,-9.6081099619682912e-13,9.6081099619682912e-13
64,3.0625000000000000e+00,-4.9375000000000000e+00,2.1835759892341374e-15,3.9729774671999996e-09,3.9794311990301818e-09,-6.4537318301821695e-12,6.4537318301821695e-12
65,3.1875000000000000e+00,-4.9375000000000000e+00,9.9971393583484332e-16,2.5705520001699999e-09,2.5782506246448137e-09,-7.6986244748137857e-12,7.6986244748137857e-12
66,3.3125000000000000e+00,-4.9375000000000000e+00,4.4362036987728103e-16,1.6347320138999999e-09,1.6416834801181787e-09,-6.9514662181788311e-12,6.9514662181788311e-12
67,3.4375000000000000e+00,-4.9375000000000000e+00,1.9079874356298067e-16,1.0218441063999999e-09,1.0273392706899730e-09,-5.4951642899730821e-12,5.4951642899730821e-12
68,3.5625000000000000e+00,-4.9375000000000000e+00,7.9536749593785925e-17,6.2783984399300005e-10,6.3182748838557202e-10,-3.9876443925719709e-12,3.9876443925719709e-12
69,3.6875000000000000e+00,-4.9375000000000000e+00,3.2135751809355005e-17,3.7918201593000000e-10,3.8189441628748086e-10,-2.7124003574808605e-12,2.7124003574808605e-12
70,3.8125000000000000e+00,-4.9375000000000000e+00,1.2584541226032543e-17,2.2510747081399999e-10,2.2685495305281443e-10,-1.7474822388144367e-12,1.7474822388144367e-12
71,3.9375000000000000e+00,-4.9375000000000000e+00,4.7765530823270828e-18,1.3136638744000001e-10,1.3243823628069392e-10,-1.0718488406939098e-12,1.0718488406939098e-12
72,4.0625000000000000e+00,-4.9375000000000000e+00,1.7571956786522176e-18,7.5359771228699997e-11,7.5986891102480384e-11,-6.2711987378038781e-13,6.2711987378038781e-13
73,4.1875000000000000e+00,-4.9375000000000000e+00,6.2654741439868453e-19,4.2497534904699999e-11,4.2847366014537063e-11,-3.4983110983706465e-13,3.4983110983706465e-13
74,4.3125000000000000e+00,-4.9375000000000000e+00,2.1652899246719891e-19,2.3559196137000001e-11,2.3744867348210705e-11,-1.8567121121070477e-13,1.8567121121070477e-13
75,4.4375000000000000e+00,-4.9375000000000000e+00,7.2528127553398887e-20,1.2838572290899999e-11,1.2932292870683785e-11,-9.3720579783785469e-14,9.3720579783785469e-14
76,4.5625000000000000e+00,-4.9375000000000000e+00,2.3546435563092056e-20,6.8762975166000001e-12,6.9221575559881562e-12,-4.5860039388156060e-14,4.5860039388156060e-14
77,4.6875000000000000e+00,-4.9375000000000000e+00,7.4092146821484555e-21,3.6169850926000002e-12,3.6413933449220776e-12,-2.4408252322077424e-14,2.4408252322077424e-14
78,4.8125000000000000e+00,-4.9375000000000000e+00,2.2596828077362673e-21,1.8629440682900002e-12,1.8825818765185579e-12,-1.9637808228557714e-14,1.9637808228557714e-14
79,4.9375000000000000e+00,-4.9375000000000000e+00,6.6796096209879242e-22,9.2854747825500001e-13,9.5653379375836544e-13,-2.7986315503365432e-14,2.7986315503365432e-14
80,-4.9375000000000000e+00,-4.8125000000000000e+00,2.2596828077362673e-21,1.8629440682900002e-12,1.8825818765185579e-12,-1.9637808228557714e-14,1.9637808228557714e-14
81,-4.8125000000000000e+00,-4.8125000000000000e+00,7.6444084030522292e-21,3.7867163082600004e-12,3.7051639418517421e-12,8.1552366408258295e-14,8.1552366408258295e-14
82,-4.6875000000000000e+00,-4.8125000000000000e+00,2.5065050184177922e-20,7.3698702920600005e-12,7.1667317570562714e-12,2.0313853500372910e-13,2.0313853500372910e-13
