i,j,x,y,initial,numerical,exact,error,absError
14,3,7.2499999999999998e-01,1.7499999999999999e-01,-5.8778525229247403e-01,-1.0403380101900001e-01,-5.8778525229242906e-01,4.8375145127342906e-01,4.8375145127342906e-01
15,3,7.7500000000000002e-01,1.7499999999999999e-01,-3.0901699437494762e-01,-4.3903267233899999e-02,-3.0901699437489566e-01,2.6511372714099568e-01,2.6511372714099568e-01
16,3,8.2499999999999996e-01,1.7499999999999999e-01,-2.4492935982947064e-16,2.0524824240000000e-02,5.4423812961537109e-14,2.0524824239945574e-02,2.0524824239945574e-02
17,3,8.7500000000000000e-01,1.7499999999999999e-01,3.0901699437494717e-01,8.2943802912400000e-02,3.0901699437500002e-01,-2.2607319146260002e-01,2.2607319146260002e-01
18,3,9.2500000000000004e-01,1.7499999999999999e-01,5.8778525229247358e-01,1.3724366425199999e-01,5.8778525229251788e-01,-4.5054158804051792e-01,4.5054158804051792e-01
19,3,9.7499999999999998e-01,1.7499999999999999e-01,8.0901699437494679e-01,1.7810915950199999e-01,8.0901699437497943e-01,-6.3090783487297941e-01,6.3090783487297941e-01
0,4,2.5000000000000001e-02,2.2500000000000001e-01,1.0000000000000000e+00,2.0524287087000001e-01,1.0000000000000000e+00,-7.9475712912999996e-01,7.9475712912999996e-01
1,4,7.4999999999999997e-02,2.2500000000000001e-01,9.5105651629515364e-01,1.8885505026700000e-01,9.5105651629513643e-01,-7.6220146602813643e-01,7.6220146602813643e-01
2,4,1.2500000000000000e-01,2.2500000000000001e-01,8.0901699437494745e-01,1.5398078151399999e-01,8.0901699437491581e-01,-6.5503621286091585e-01,6.5503621286091585e-01
3,4,1.7499999999999999e-01,2.2500000000000001e-01,5.8778525229247325e-01,1.0403380101900001e-01,5.8778525229242828e-01,-4.8375145127342828e-01,4.8375145127342828e-01
4,4,2.2500000000000001e-01,2.2500000000000001e-01,3.0901699437494751e-01,4.3903267233899999e-02,3.0901699437489638e-01,-2.6511372714099640e-01,2.6511372714099640e-01
5,4,2.7500000000000002e-01,2.2500000000000001e-01,1.2246467991473532e-16,-2.0524824240000000e-02,-5.5434456061151970e-14,-2.0524824239944565e-02,2.0524824239944565e-02
6,4,3.2500000000000001e-01,2.2500000000000001e-01,-3.0901699437494773e-01,-8.2943802912400000e-02,-3.0901699437500013e-01,2.2607319146260013e-01,2.2607319146260013e-01
7,4,3.7500000000000000e-01,2.2500000000000001e-01,-5.8778525229247303e-01,-1.3724366425199999e-01,-5.8778525229251655e-01,4.5054158804051658e-01,4.5054158804051658e-01
8,4,4.2499999999999999e-01,2.2500000000000001e-01,-8.0901699437494734e-01,-1.7810915950199999e-01,-8.0901699437497998e-01,6.3090783487297997e-01,6.3090783487297997e-01
9,4,4.7499999999999998e-01,2.2500000000000001e-01,-9.5105651629515353e-01,-2.0154008926100000e-01,-9.5105651629517018e-01,7.4951642703417021e-01,7.4951642703417021e-01
